model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                ,  59999 ,       23096 ,  159500 ,12-Jan-2016       ,     1.8 ,          3 , 35428 ,  36600 , 1150 ,    1595 ,"Factory System With Bluetooth, Electric Tailgate, Ambient Lightning, Reverse Camera/sensor, Rear Aircon, Multi Function Steering. Sports Rims."
KIA CERATO 1.6(A) SUNROOF                              ,  91988 ,       14472 ,   75000 ,04-Dec-2019       ,     5.7 ,          1 , 18954 ,  18954 ,  938 ,    1591 ,"Sunroof, Apple CarPlay/Android Auto, ventilated electric memory seats, reverse camera/sensor, retractable side mirrors, rear aircon."
SUBARU FORESTER 2.0I-S EYESIGHT AWD CVT SR             , 103800 ,       17015 ,  120000 ,17-Oct-2019       ,     5.6 ,          2 , 18058 ,  18058 , 1150 ,    1995 ,"Keyless entry/start, Sunroof, Bluetooth, auto tailgate, cruise control, electric seats, blind spot and lane departure assist, navigation, 360 cameras."
TOYOTA SIENTA HYBRID 1.5X CVT                          , 114800 ,       16764 ,   49500 ,28-Jul-2020       ,     6.3 ,          2 , 24835 ,  16769 ,  730 ,    1496 ,"Kenwood Touchscreen player with Bluetooth, reverse camera with sensor, foldable rear seats, leather seats"
ALFA ROMEO ALFA 159 2.2JTS.SELESPEED                   ,  78800 ,       12648 ,  104545 ,15-Jun-2010       ,     6.2 ,          2 , 23650 ,  23650 , 1360 ,    2198 ,"Automatic headlights, Keyless entry and ignition, Electric driver's seat, Multifunction steering wheel, Cruise control and more!"
BMW M3 COMPETITION PKG LED NAV HUD                     , 230888 ,       54687 ,   62511 ,30-Jun-2017       ,     3.3 ,          2 , 73494 , 104290 , 3310 ,    2979 ,"20"" Competition Rims, Beautiful Red Nappa Leather, GPS, Bluetooth, Reverse Camera, Comfort Access, Paddle Shifters."
SEAT ATECA 1.4 TSI 150 STYLE 7AT                       ,  98988 ,       15344 ,   77000 ,29-Oct-2019       ,     5.6 ,          2 , 24316 ,  26043 , 1100 ,    1395 ,"Multi Function Steering Wheel, Keyless Entry/start/stop, Blindspot Monitoring System, Wireless Charger."
RENAULT SCENIC IV 1.5L DCI AT EU6                      , 107988 ,       14188 ,   24000 ,30-Jun-2021       ,     7.3 ,          1 , 23315 ,   9641 ,  810 ,    1461 ,LED Headlights. Touch Screen Media With Carplay And Navigation. Ambient Lighting. Park Assist. Cruise Control. Multi Zone Acc. Digital Speedo.
TOYOTA ESTIMA AERAS PREMIUM 2.4 CVT                    ,  98988 ,       22323 ,   82000 ,31-Aug-2017       ,     3.4 ,          2 , 37475 ,  44465 , 1250 ,    2362 ,"Auto head lights, keyless entry/start/stop, rear aircon, electric tailgate, reverse camera, front recording cam, knockdown rear seats, ISOFIX."
TOYOTA PRIUS PLUS (AUTO)                               , 130988 ,       17987 ,   51200 ,08-Dec-2020       ,     6.7 ,          1 , 27507 ,  20510 , 1000 ,    1798 ,"Sports Rims, Leather Upholstery, Factory Head Unit, Multi Functional Steering, Reverse Camera And Electric Folding Side Mirror."
VOLKSWAGEN TIGUAN R-LINE 2.0 TSI AT 5N22M9             ,  52988 ,       20897 ,  130000 ,30-Sep-2015       ,     1.5 ,          3 , 36019 ,  42427 , 1550 ,    1984 ,"Panoramic Roof, Driver And Front Passenger Electric Seats."
VOLVO V40 T4 M                                         ,  94988 ,       16069 ,   66000 ,23-May-2019       ,     5.2 ,          1 , 22799 ,  23919 , 1400 ,    1969 ,"Original Rims, Front, Rear And Reverse Camera, Bluetooth, Digital Speedometer, 3 Memory Settings For Driver, Electric Seat. Original Stock Condition."
TOYOTA VELLFIRE 2.5Z-A EDITION A                       ,  67777 ,       37412 ,  130000 ,29-Jun-2015       ,     1.3 ,          5 , 34890 ,  40846 , 1340 ,    2493 ,Dual power sliding door. Keyless entry/start. Moonroof. Multi function steering wheel. Reverse camera.
MAZDA 2 SEDAN 1.5L SP.6EAT (LED)                       ,  51500 ,       14360 ,   72888 ,11-May-2017       ,     3.1 ,          2 , 18066 ,  13066 ,  850 ,    1496 ,"Leather seats, 16"" factory alloy sport rims, factory fitted audio system with steering controls, reverse sensors, solar film, fog lights."
HONDA VEZEL 1.5X CVT ABS D/AIRBAG 2WD 5DR              ,  49637 ,       16863 ,  140500 ,11-Nov-2016       ,     2.6 ,          1 , 20273 ,  10383 ,  960 ,    1496 ,"Modded with noblesse bodykits, Tanebe exhaust, smoke rear tailights, cusco strut bars, hardrace stabilizer link, hardrace lower arm, tein coilover flex z, Force BBK 4 pot, high spark ignition coil, NGK premium spark plugs, hurricane air filter, D spec oil catch tank, Taspa battery, CF steering with controls, 9 inch android HU, OZ hyper GT rims with michelin ps4 tyres, ecu remap and auto tailgate etc."
BMW X7 XDRIVE40I PGR LASERLIGHT FL 7SEATER             , 286988 ,       40976 ,   70000 ,27-May-2019       ,     5.2 ,          2 , 98553 , 149396 , 2500 ,    2998 ,"Driving Assistant Professional, Parking Assistance, Live Cockpit Professional, Harmon Kardon Sound System, BMW Gesture Control."
BMW 730LI LED NAV HUD SR RCP                           , 185988 ,       26588 ,   90600 ,21-Nov-2018       ,     4.7 ,          1 , 84372 , 123870 , 1900 ,    1998 ,"Massage Chair For Both Front Seats, Electric Memory Seats, BMW Touch Command, Connected Drive, GPS, Bluetooth, Surround Cameras, Sunroof, HUD."
BMW 530E LED NAV                                       , 175988 ,       22795 ,   46800 ,27-Feb-2020       ,     5.9 ,          3 , 60793 ,  81428 , 1850 ,    1998 ,Keyless Entry/engine Start. Wireless Phone Charging. Electric Tailgate. 360 Surround Camera. GPS Navi. Full Digital Cockpit. Electric Memory Seating.
